Step,Average Knowledge,Positive Attitudes,Neutral Attitudes,Negative Attitudes,AI Knowledge Contribution,Network Centrality
1,6.277896372796927,54,26,20,2.5,0.04
2,7.555451343035113,70,8,22,3.0,0.04
3,9.236794181436478,78,3,19,3.5,0.04
4,11.567436437061483,81,6,13,4.0,0.04
5,14.258806717997679,87,6,7,4.5,0.04
6,17.661469772043237,93,4,3,5.0,0.04
7,21.91344649486247,97,0,3,5.5,0.04
8,25.91953508618726,97,3,0,6.0,0.04
9,29.950322380785597,100,0,0,6.5,0.04
10,34.19334333649597,100,0,0,7.0,0.039009900990099
11,38.66295799183145,100,0,0,7.5,0.039009900990099
12,44.829455406322,100,0,0,8.0,0.039009900990099
13,50.10975777915259,100,0,0,8.5,0.039009900990099
14,54.84809456292725,100,0,0,9.0,0.039009900990099
15,61.14844996385542,100,0,0,9.5,0.039009900990099
16,69.14651773388854,100,0,0,10.0,0.039009900990099
17,75.69630433170258,100,0,0,10.5,0.039009900990099
18,80.99150831889719,100,0,0,11.0,0.039009900990099
19,90.40400811316348,100,0,0,11.5,0.039009900990099
20,96.89866357196708,100,0,0,12.0,0.038019801980198005
21,103.0566127374928,100,0,0,12.5,0.038019801980198005
22,108.41725966678177,100,0,0,13.0,0.038019801980198005
23,111.18008063299601,100,0,0,13.5,0.038019801980198005
24,121.78725809725492,100,0,0,14.0,0.038019801980198005
25,127.3729177450054,100,0,0,14.5,0.038019801980198005
26,135.49060311530695,100,0,0,15.0,0.038019801980198005
27,141.65417515021204,100,0,0,15.5,0.038019801980198005
28,155.9287946439997,100,0,0,16.0,0.038019801980198005
29,167.06976359505165,100,0,0,16.5,0.038019801980198005
30,175.82747881682891,100,0,0,17.0,0.039009900990098996
31,191.12723730656097,100,0,0,17.5,0.039009900990098996
32,198.97485346856948,100,0,0,18.0,0.039009900990098996
33,211.86639980618645,100,0,0,18.5,0.039009900990098996
34,220.75427498466638,100,0,0,19.0,0.039009900990098996
35,226.88427573693573,100,0,0,19.5,0.039009900990098996
36,239.24067340582712,100,0,0,20.0,0.039009900990098996
37,249.2340780199978,100,0,0,20.5,0.039009900990098996
38,264.7040021286807,100,0,0,21.0,0.039009900990098996
39,278.22751552222235,100,0,0,21.5,0.039009900990098996
40,288.46939487927045,100,0,0,22.0,0.038019801980198
41,303.25121202162137,100,0,0,22.5,0.038019801980198
42,318.93066116345324,100,0,0,23.0,0.038019801980198
43,324.63844531957835,100,0,0,23.5,0.038019801980198
44,337.01667209109837,100,0,0,24.0,0.038019801980198
45,361.26392458904536,100,0,0,24.5,0.038019801980198
46,366.5093596095765,100,0,0,25.0,0.038019801980198
47,381.0515014058001,100,0,0,25.5,0.038019801980198
48,404.47759642785456,100,0,0,26.0,0.038019801980198
49,431.05371684557707,100,0,0,26.5,0.038019801980198
50,451.09957796109734,100,0,0,27.0,0.03702970297029701
51,458.4827488550351,100,0,0,27.5,0.03702970297029701
52,463.6754966697615,100,0,0,28.0,0.03702970297029701
53,481.70935549807393,100,0,0,28.5,0.03702970297029701
54,493.1233993237691,100,0,0,29.0,0.03702970297029701
55,518.1357733039665,100,0,0,29.5,0.03702970297029701
56,531.3102695076332,100,0,0,30.0,0.03702970297029701
57,547.0366353312266,100,0,0,30.5,0.03702970297029701
58,544.7356383831246,100,0,0,31.0,0.03702970297029701
59,555.985510502335,100,0,0,31.5,0.03702970297029701
60,580.01092595305,100,0,0,32.0,0.038019801980198005
61,613.7741987349748,100,0,0,32.5,0.038019801980198005
62,652.4270642743154,100,0,0,33.0,0.038019801980198005
63,677.2407252306695,100,0,0,33.5,0.038019801980198005
64,707.2990819901491,100,0,0,34.0,0.038019801980198005
65,720.6636969746658,100,0,0,34.5,0.038019801980198005
66,760.062476877939,100,0,0,35.0,0.038019801980198005
67,782.2648257953811,100,0,0,35.5,0.038019801980198005
68,819.154233515099,100,0,0,36.0,0.038019801980198005
69,822.8005124515017,100,0,0,36.5,0.038019801980198005
70,833.9440461707259,100,0,0,37.0,0.037029702970297014
71,858.9227914328198,100,0,0,37.5,0.037029702970297014
72,868.8702016764239,100,0,0,38.0,0.037029702970297014
73,887.3028165259452,100,0,0,38.5,0.037029702970297014
74,925.431353425376,100,0,0,39.0,0.037029702970297014
75,980.3166560348672,100,0,0,39.5,0.037029702970297014
76,1015.6414785991599,100,0,0,40.0,0.037029702970297014
77,1024.8148531736908,100,0,0,40.5,0.037029702970297014
78,1050.1601525826143,100,0,0,41.0,0.037029702970297014
79,1079.7862718058284,100,0,0,41.5,0.037029702970297014
80,1076.6845943978142,100,0,0,42.0,0.03801980198019801
81,1099.8641160404832,100,0,0,42.5,0.03801980198019801
82,1127.548290643042,100,0,0,43.0,0.03801980198019801
83,1207.944072244937,100,0,0,43.5,0.03801980198019801
84,1210.1599524408844,100,0,0,44.0,0.03801980198019801
85,1218.4921545969735,100,0,0,44.5,0.03801980198019801
86,1228.5463512007332,100,0,0,45.0,0.03801980198019801
87,1235.538220870171,100,0,0,45.5,0.03801980198019801
88,1242.4972129968216,100,0,0,46.0,0.03801980198019801
89,1235.7127295442806,100,0,0,46.5,0.03801980198019801
90,1267.210264681747,100,0,0,47.0,0.039009900990099
91,1276.3364588008155,100,0,0,47.5,0.039009900990099
92,1291.9607124904762,100,0,0,48.0,0.039009900990099
93,1351.1209591982615,100,0,0,48.5,0.039009900990099
94,1381.141324429735,100,0,0,49.0,0.039009900990099
95,1391.8580741474798,100,0,0,49.5,0.039009900990099
96,1430.0967902142431,100,0,0,50.0,0.039009900990099
97,1474.7703329674766,100,0,0,50.5,0.039009900990099
98,1546.569501076436,100,0,0,51.0,0.039009900990099
99,1592.6388676047052,100,0,0,51.5,0.039009900990099
100,1664.4070965254923,100,0,0,52.0,0.03999999999999998
